true vs pred,AmurTiger,Badger,BlackBear,Cow,Dog,Hare,Leopard,LeopardCat,MuskDeer,RaccoonDog,RedFox,RoeDeer,Sable,SikaDeer,Weasel,WildBoar,Y.T.Marten
AmurTiger,0.977169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018265,0.000000,0.004566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Badger,0.000000,0.934169,0.000000,0.000000,0.000000,0.003135,0.000000,0.000000,0.003135,0.025078,0.000000,0.000000,0.021944,0.000000,0.012539,0.000000,0.000000
BlackBear,0.000000,0.000000,0.850610,0.000000,0.003049,0.006098,0.000000,0.000000,0.012195,0.039634,0.000000,0.000000,0.039634,0.000000,0.000000,0.021341,0.027439
Cow,0.000000,0.000000,0.000000,0.888889,0.000000,0.012346,0.000000,0.000000,0.000000,0.012346,0.000000,0.000000,0.049383,0.037037,0.000000,0.000000,0.000000
Dog,0.000000,0.000000,0.000000,0.000000,0.979798,0.010101,0.000000,0.000000,0.000000,0.000000,0.010101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Hare,0.000000,0.000992,0.000000,0.000000,0.000000,0.966270,0.000000,0.006944,0.001984,0.003968,0.000992,0.000000,0.016865,0.000000,0.001984,0.000000,0.000000
Leopard,0.002577,0.000000,0.000000,0.000000,0.000000,0.000000,0.868557,0.126289,0.000000,0.002577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LeopardCat,0.000000,0.002667,0.000000,0.000000,0.001333,0.013333,0.000000,0.792000,0.004000,0.020000,0.020000,0.000000,0.072000,0.000000,0.073333,0.001333,0.000000
MuskDeer,0.000000,0.000000,0.000000,0.000000,0.000000,0.023058,0.000000,0.000000,0.804612,0.001214,0.000000,0.125000,0.012136,0.032767,0.001214,0.000000,0.000000
RaccoonDog,0.000000,0.150215,0.003219,0.000000,0.000000,0.016094,0.000000,0.000000,0.012876,0.711373,0.003219,0.000000,0.052575,0.001073,0.041845,0.003219,0.004292
RedFox,0.000000,0.000000,0.000000,0.000000,0.000000,0.008596,0.000000,0.000000,0.008596,0.008596,0.909742,0.000000,0.011461,0.000000,0.051576,0.001433,0.000000
RoeDeer,0.000000,0.000000,0.000000,0.000000,0.000000,0.012165,0.000000,0.000000,0.002433,0.002433,0.000000,0.970803,0.002433,0.007299,0.002433,0.000000,0.000000
Sable,0.000000,0.000000,0.000000,0.000000,0.000000,0.002976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800595,0.000000,0.175595,0.000000,0.020833
SikaDeer,0.000000,0.000000,0.000000,0.000000,0.000000,0.007707,0.000000,0.000000,0.007707,0.001927,0.000000,0.034682,0.025048,0.922929,0.000000,0.000000,0.000000
Weasel,0.000000,0.000000,0.000000,0.000000,0.000000,0.002315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023148,0.000000,0.974537,0.000000,0.000000
WildBoar,0.000000,0.003226,0.008065,0.000000,0.000000,0.000000,0.000000,0.001613,0.014516,0.022581,0.000000,0.000000,0.009677,0.004839,0.000000,0.932258,0.003226
Y.T.Marten,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.050000,0.000000,0.020000,0.000000,0.920000
