========================================================================
  DINOv2-base  |  Wildlife Camera Trap  |  Night-Time Test
========================================================================

OVERALL (macro-averaged)
---------------------------------------------
  Accuracy     : 0.8787
  Sensitivity  : 0.8944
  Specificity  : 0.9924
  Precision    : 0.8833
  F1-score     : 0.8820
  AUC-ROC      : 0.9926  (macro, one-vs-rest)
  PR-AUC       : 0.9517  (macro, one-vs-rest)

PER-SPECIES
---------------------------------------------
Class                      N   Sens   Spec   Prec    Acc     F1    ROC     PR
-----------------------------------------------------------------------------
AmurTiger                438 0.9772 0.9999 0.9977 0.9987 0.9873 0.9999 0.9988
Badger                   319 0.9342 0.9818 0.6727 0.9800 0.7822 0.9950 0.9033
BlackBear                328 0.8506 0.9990 0.9721 0.9931 0.9073 0.9983 0.9768
Cow                       81 0.8889 1.0000 1.0000 0.9989 0.9412 0.9998 0.9865
Dog                       99 0.9798 0.9998 0.9798 0.9995 0.9798 0.9913 0.9900
Hare                    1008 0.9663 0.9909 0.9365 0.9879 0.9512 0.9964 0.9910
Leopard                  388 0.8686 1.0000 1.0000 0.9938 0.9297 0.9905 0.9760
LeopardCat               750 0.7920 0.9914 0.9014 0.9733 0.8432 0.9905 0.9261
MuskDeer                 824 0.8046 0.9944 0.9404 0.9755 0.8672 0.9921 0.9495
RaccoonDog               932 0.7114 0.9909 0.9082 0.9594 0.7978 0.9664 0.8872
RedFox                   698 0.9097 0.9972 0.9680 0.9899 0.9380 0.9980 0.9831
RoeDeer                  411 0.9708 0.9846 0.7673 0.9839 0.8571 0.9960 0.9238
Sable                    336 0.8006 0.9752 0.5773 0.9681 0.6708 0.9723 0.8319
SikaDeer                 519 0.9229 0.9952 0.9283 0.9907 0.9256 0.9973 0.9653
Weasel                   432 0.9745 0.9747 0.6790 0.9746 0.8004 0.9971 0.9408
WildBoar                 620 0.9323 0.9984 0.9797 0.9935 0.9554 0.9991 0.9913
Y.T.Marten               100 0.9200 0.9973 0.8070 0.9964 0.8598 0.9942 0.9574

========================================================================
