class,n_samples,TP,TN,FP,FN,sensitivity,specificity,precision,accuracy,f1,auc_roc,pr_auc
AmurTiger,438,428,7844,1,10,0.977169,0.999873,0.997669,0.998672,0.987313,0.999900,0.998785
Badger,319,298,7819,145,21,0.934169,0.981793,0.672686,0.979959,0.782152,0.994969,0.903268
BlackBear,328,279,7947,8,49,0.850610,0.998994,0.972125,0.993118,0.907317,0.998319,0.976785
Cow,81,72,8202,0,9,0.888889,1.000000,1.000000,0.998913,0.941176,0.999806,0.986534
Dog,99,97,8182,2,2,0.979798,0.999756,0.979798,0.999517,0.979798,0.991313,0.990038
Hare,1008,974,7209,66,34,0.966270,0.990928,0.936538,0.987927,0.951172,0.996423,0.991047
Leopard,388,337,7895,0,51,0.868557,1.000000,1.000000,0.993843,0.929655,0.990494,0.975962
LeopardCat,750,594,7468,65,156,0.792000,0.991371,0.901366,0.973319,0.843151,0.990487,0.926064
MuskDeer,824,663,7417,42,161,0.804612,0.994369,0.940426,0.975492,0.867233,0.992093,0.949474
RaccoonDog,932,663,7284,67,269,0.711373,0.990886,0.908219,0.959435,0.797834,0.966372,0.887163
RedFox,698,635,7564,21,63,0.909742,0.997231,0.967988,0.989859,0.937962,0.997952,0.983101
RoeDeer,411,399,7751,121,12,0.970803,0.984629,0.767308,0.983943,0.857143,0.995976,0.923828
Sable,336,269,7750,197,67,0.800595,0.975211,0.577253,0.968127,0.670823,0.972269,0.831907
SikaDeer,519,479,7727,37,40,0.922929,0.995234,0.928295,0.990704,0.925604,0.997347,0.965260
Weasel,432,421,7652,199,11,0.974537,0.974653,0.679032,0.974647,0.800380,0.997090,0.940822
WildBoar,620,578,7651,12,42,0.932258,0.998434,0.979661,0.993481,0.955372,0.999148,0.991262
Y.T.Marten,100,92,8161,22,8,0.920000,0.997311,0.807018,0.996378,0.859813,0.994242,0.957446
