epoch,sub_phase,train_loss,val_night_loss,val_night_acc,val_night_f1
1,1a,1.981776,4.157455,0.024260,0.021776
2,1a,1.771743,4.157455,0.024260,0.021776
3,1a,1.707661,4.157455,0.024260,0.021776
4,1a,1.675058,4.157455,0.024260,0.021776
5,1a,1.648377,4.157455,0.024260,0.021776
6,1b,1.566973,4.223595,0.025230,0.023395
7,1b,1.509397,4.201484,0.027656,0.024068
8,1b,1.482964,4.206225,0.030568,0.027528
9,1b,1.469465,4.236664,0.023775,0.021869
10,1b,1.463458,4.222087,0.027171,0.024057
11,1b,1.456600,4.247163,0.027171,0.023374
12,1b,1.450421,4.237230,0.025716,0.022510
13,1b,1.451036,4.248501,0.025230,0.023194
14,1b,1.447854,4.259528,0.025230,0.023194
15,1b,1.449719,4.257261,0.025230,0.023406
16,2a,1.296998,1.426281,0.803008,0.816466
17,2a,0.886560,1.372082,0.827268,0.836005
18,2a,0.860970,1.358221,0.837943,0.846778
19,2a,0.846329,1.353925,0.840369,0.851160
20,2a,0.841254,1.358667,0.838428,0.849074
21,2b,0.815912,1.342761,0.881611,0.885336
22,2b,0.782564,1.365130,0.878214,0.878552
23,2b,0.769572,1.360997,0.874818,0.874657
24,2b,0.760105,1.339175,0.886948,0.887092
25,2b,0.754897,1.341376,0.889859,0.888889
26,2b,0.751648,1.341451,0.885978,0.888164
27,2b,0.749589,1.345469,0.879670,0.879788
28,2b,0.749097,1.343119,0.884522,0.883544
29,2b,0.748816,1.353089,0.882581,0.884026
30,2b,0.748129,1.348723,0.881611,0.881380
